Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-12-14,125.320000,126.243500,123.470001,123.529999,117.612518,5050023,-0.014283
2020-12-15,124.389999,125.930000,123.440002,125.930000,119.897560,4359601,0.012380
2020-12-16,125.930000,126.572800,125.286003,125.550003,119.535767,4530096,-0.003018
2020-12-17,126.080002,126.089996,124.910004,125.550003,119.535767,3787962,-0.004204
2020-12-18,125.589996,126.400002,124.970001,125.849998,119.821381,7552845,0.002070
2020-12-21,123.970001,124.180000,121.720001,123.389999,117.479233,6115671,-0.004679
2020-12-22,123.309998,124.220001,122.410004,123.610001,117.688690,4337757,0.002433
2020-12-23,123.879997,125.209999,123.739998,123.900002,117.964798,2693889,0.000161
2020-12-24,125.000000,125.099998,124.209999,124.690002,118.716957,1761122,-0.002480
2020-12-28,125.099998,126.599998,124.459999,124.820000,118.840729,3615222,-0.002238
2020-12-29,125.349998,125.480003,123.239998,123.800003,117.869591,3487007,-0.012365
2020-12-30,123.800003,124.849998,123.629997,124.339996,118.383713,3380494,0.004362
2020-12-31,124.220001,126.029999,123.989998,125.879997,119.849937,3574696,0.013363
2021-01-04,125.849998,125.917397,123.040001,123.940002,118.002892,5179161,-0.015177
2021-01-05,125.010002,126.680000,124.610001,126.139999,120.097496,6114619,0.009039
2021-01-06,126.900002,131.880005,126.720001,129.289993,123.096596,7956740,0.018834
2021-01-07,130.039993,130.460007,128.259995,128.990005,122.810966,4507382,-0.008074
2021-01-08,128.570007,129.320007,126.980003,128.529999,122.373001,4676487,-0.000311
2021-01-11,127.949997,129.675003,127.660004,128.580002,122.420609,5602466,0.004924
2021-01-12,129.089996,129.850006,127.940002,129.210007,123.020439,3749213,0.000930
2021-01-13,129.149994,129.750000,126.455002,126.919998,120.840126,7677739,-0.017267
2021-01-14,128.020004,130.160004,127.550003,128.970001,122.791939,7503180,0.007421
2021-01-15,128.279999,129.240005,127.669998,128.389999,122.239716,4905506,0.000857
2021-01-19,129.279999,129.589996,128.088501,129.020004,122.839531,5397956,-0.002011
2021-01-20,129.699997,131.059998,128.559998,130.080002,123.848755,5598705,0.002930
2021-01-21,130.119995,132.240005,130.050003,131.649994,125.343536,12819233,0.011758
2021-01-22,120.699997,120.699997,117.360001,118.610001,112.928207,38063533,-0.017316
