Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-02-04,242.660004,243.239899,240.369995,242.009995,239.998260,25296100,-0.002679
2021-02-05,242.229996,243.279999,240.419998,242.199997,240.186676,18054752,-0.000124
2021-02-08,243.149994,243.679993,240.809998,242.470001,240.454453,22211929,-0.002797
2021-02-09,241.869995,244.759995,241.380005,243.770004,241.743637,23564953,0.007855
2021-02-10,245.000000,245.919998,240.889999,242.820007,240.801529,22186706,-0.008898
2021-02-11,244.779999,245.149994,242.149994,244.490005,242.457657,15751059,-0.001185
2021-02-12,243.933197,245.300003,242.729996,244.990005,242.953491,16561079,0.004332
2021-02-16,245.029999,246.130005,242.919998,243.699997,241.674225,26728487,-0.005428
2021-02-17,241.320007,244.309998,240.940002,244.199997,242.727814,21673109,0.011934
2021-02-18,241.800003,243.929993,240.860001,243.789993,242.320267,16925563,0.008230
2021-02-19,243.750000,243.860001,240.179993,240.970001,239.517288,25262600,-0.011405
2021-02-22,237.419998,237.929993,232.399994,234.509995,233.096237,36446936,-0.012257
2021-02-23,230.324997,234.830002,228.729996,233.270004,231.863724,30228704,0.012786
2021-02-24,230.009995,235.199997,229.000000,234.550003,233.136002,26339746,0.019738
2021-02-25,232.080002,234.585205,227.880005,228.990005,227.609512,39542235,-0.013314
2021-02-26,231.524994,235.369995,229.539993,232.380005,230.979080,37819227,0.003693
2021-03-01,235.899994,237.470001,233.149994,236.940002,235.511581,25332837,0.004409
2021-03-02,237.009995,237.300003,233.449997,233.869995,232.460083,22812459,-0.013248
2021-03-03,232.154999,233.579895,227.259995,227.559998,226.188126,34029526,-0.019793
2021-03-04,226.735001,232.490005,224.259995,226.729996,225.363129,44727785,-0.000022
2021-03-05,229.516495,233.270004,226.460007,231.600006,230.203781,41872770,0.009078
2021-03-08,231.369995,233.365005,227.130005,227.389999,226.019165,35267440,-0.017202
2021-03-09,232.880005,235.383896,231.669998,233.779999,232.370636,33080531,0.003865
2021-03-10,237.000000,237.000000,232.039993,232.419998,231.018829,29746812,-0.019325
2021-03-11,234.960007,239.169998,234.309998,237.130005,235.700439,29907586,0.009236
2021-03-12,234.009995,235.820007,233.229996,235.750000,234.328751,22653662,0.007436
2021-03-15,234.960007,235.184998,231.809998,234.809998,233.394409,26042669,-0.000638
2021-03-16,236.279999,240.054993,235.940002,237.710007,236.276947,28092196,0.006052
